Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MainTest,Chrome 75.0.3770.100,,,2019-07-29 22:32:33,2019-07-29 22:33:08,35.041s,INCOMPLETE
,,,,,,,
Test Cases/SearchProduct,Chrome 75.0.3770.100,To validate search item,,2019-07-29 22:32:33,2019-07-29 22:32:47,14.446s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-29 22:32:33,2019-07-29 22:32:35,2.066s,PASSED
navigateToUrl(Site_URL),Chrome 75.0.3770.100,,,2019-07-29 22:32:35,2019-07-29 22:32:41,6.192s,PASSED
"verifyMatch(getUrl(), Site_URL, false)",Chrome 75.0.3770.100,,,2019-07-29 22:32:41,2019-07-29 22:32:41,0.037s,PASSED
searchAction(searchInvalid),Chrome 75.0.3770.100,,,2019-07-29 22:32:41,2019-07-29 22:32:41,0.002s,PASSED
"lelongweb.keyword.setText(findTestObject(""SearchProduct/Page_Index/input_searchText""), text)",Chrome 75.0.3770.100,,,2019-07-29 22:32:41,2019-07-29 22:32:42,0.293s,PASSED
"click(findTestObject(""SearchProduct/Page_Index/span_searchButton""))",Chrome 75.0.3770.100,,,2019-07-29 22:32:42,2019-07-29 22:32:43,1.454s,PASSED
"verifyElementText(findTestObject(""SearchProduct/Page_Result/span_noResult""), searchNotFound)",Chrome 75.0.3770.100,,,2019-07-29 22:32:43,2019-07-29 22:32:43,0.045s,PASSED
searchAction(searchValid),Chrome 75.0.3770.100,,,2019-07-29 22:32:43,2019-07-29 22:32:43,0.001s,PASSED
"lelongweb.keyword.setText(findTestObject(""SearchProduct/Page_Index/input_searchText""), text)",Chrome 75.0.3770.100,,,2019-07-29 22:32:43,2019-07-29 22:32:43,0.147s,PASSED
"click(findTestObject(""SearchProduct/Page_Index/span_searchButton""))",Chrome 75.0.3770.100,,,2019-07-29 22:32:43,2019-07-29 22:32:47,3.591s,PASSED
countResult = lelongweb.keyword.countElement(searchResultList),Chrome 75.0.3770.100,,,2019-07-29 22:32:47,2019-07-29 22:32:47,0.119s,PASSED
"verifyGreaterThan(countResult, 6)",Chrome 75.0.3770.100,,,2019-07-29 22:32:47,2019-07-29 22:32:47,0.009s,PASSED
"getText(findTestObject(""SearchProduct/Page_Result/span_resultInItems"")).contains(searchValid)",Chrome 75.0.3770.100,,,2019-07-29 22:32:47,2019-07-29 22:32:47,0.062s,PASSED
